ID,physicalActivity,physicalActivityPerMonth,volunteerParticipation,volunteerPerMonth,ttcTransportation,walkTransportation,driveTransportation,cycleTransportation,taxiTransportation,communityRideTransportation,wheelTransTransportation,friendsTransportation,difficultFinancial,supportSystem,postalCode,employmentStatus,sex,primaryLanguage,ageRange,minAgeRange
241,At least a few times each week,8,At least once a week,4,1,1,,,,,,1,Yes,,M1E,"Unemployed, looking for work",Male,,55-59 years,55
242,At least a few times each week,8,Never,0,,1,1,,,,,,No,Yes,M1E,Retired,Male,English,85 years or older,85
243,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,M1E,Retired,Female,English,65-69 years,65
244,Never,0,At least once a day,30,1,1,1,,1,,,1,Yes,Yes,M1E,"Unemployed, looking for work",Female,English,55-59 years,55
245,At least a few times each week,8,At least once a day,30,,,1,,,,,,No,Yes,m1e,Retired,Female,English,70-74 years,70
246,At least once a week,4,,,,,1,,,,,,No,Yes,m1e,Retired,Female,English,80-84 years,80
247,Never,0,Never,0,1,1,,1,1,,,,Yes,No,m1e,Unable to work for health or other reasons,Male,Bengali,55-59 years,55
248,At least once a day,30,Never,0,1,,,,,,,,,Yes,M1E,Employed full-time,Male,,Less than 54 years,54
249,At least a few times each week,8,At least once a week,4,1,,1,,,,,,No,Yes,M1E,Retired,Female,English,80-84 years,80
250,At least once a day,30,At least once a week,4,1,,1,,,,,1,No,Yes,M1E,Retired,Female,English,85 years or older,85
251,At least once a day,30,At least once a week,4,1,1,,1,,,,,No,Yes,M1E,Employed part-time,Female,English,60-64 years,60
252,Never,0,Never,0,,,,,,,1,1,No,Yes,M1E,Unable to work for health or other reasons,Female,English,Less than 54 years,54
253,Never,0,Never,0,,,,,,,,1,Yes,Yes,m1e,Unable to work for health or other reasons,Male,Russian,60-64 years,60
254,At least once a week,4,At least a few times a week,8,,1,,,,,1,1,Yes,Yes,M1E,Retired,,Tamil,70-74 years,70
255,At least a few times each week,8,At least once a week,4,,1,1,,,,,,No,Yes,M1E,Retired,Male,English,65-69 years,65
256,At least once a day,30,Never,0,,,1,,,,,,No,Yes,M1E,Retired,Male,,75-79 years,75
257,At least a few times each week,8,At least once a month,1,1,,,,1,,,,Yes,Yes,M1E,Retired,Female,English,70-74 years,70
258,At least once a day,30,Never,0,,,,,,,1,,No,Yes,M1E,Retired,Male,Tamil,70-74 years,70
259,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,m1e,Employed full-time,Male,Spanish,60-64 years,60
260,At least once a week,4,Never,0,,,,,,,1,1,No,Yes,M1E,Unable to work for health or other reasons,Female,Tamil,Less than 54 years,54
261,Never,0,Never,0,,,,,1,,1,,Yes,Yes,M1E ,Unable to work for health or other reasons,Male,English,60-64 years,60
262,At least once a month,1,At least once a week,4,,,,,,,1,,Yes,No,M1E ,Retired,Female,English,75-79 years,75
263,At least once a month,1,At least once a day,30,1,1,,,,,,,No,Yes,M1E ,"Unemployed, looking for work",Female,Bengali,60-64 years,60
264,Never,0,At least a few times a week,8,,,1,,,,,,Yes,Yes,M1E ,Retired,Male,English,65-69 years,65
265,Never,0,Never,0,,,1,,,,,,No,Yes,M1G,Employed full-time,Female,English,Less than 54 years,54
266,At least once a day,30,At least once a day,30,1,1,,,,,,1,No,Yes,M1G,Retired,Female,English,70-74 years,70
267,At least a few times each week,8,At least once a week,4,,,1,,,,,,No,No,M1G,Retired,Female,English,70-74 years,70
268,At least once a week,4,Never,0,,,,,,,1,,No,No,M1G,Retired,Female,English,80-84 years,80
269,At least once a day,30,At least a few times a week,8,1,1,,,,,,1,No,Yes,M1G,Retired,Female,English,65-69 years,65
270,At least a few times each week,8,Never,0,1,1,1,,,,,,No,Yes,M1G,Employed part-time,Female,English,65-69 years,65
271,At least once a month,1,At least once a month,1,1,,,,,,,,No,Yes,m1g,Employed part-time,Male,Bengali,60-64 years,60
272,At least a few times each week,8,At least once a week,4,,,1,,,,,,No,Yes,m1g,Retired,Female,,80-84 years,80
273,At least once a month,1,Never,0,,,,,,,,1,Yes,Yes,M1G,"Unemployed, looking for work",Male,Tagalog,55-59 years,55
274,At least a few times each week,8,Never,0,,,,,,,,1,No,Yes,M1G,Retired,Female,Tagalog,75-79 years,75
275,At least once a day,30,Never,0,,,1,,,,,,No,Yes,M1G,Unable to work for health or other reasons,Female,Chinese (Cantonese),65-69 years,65
276,At least once a day,30,At least once a week,4,,,1,,,,,,Yes,Yes,m1h,Employed full-time,Male,English,55-59 years,55
277,At least once a day,30,At least once a week,4,1,,1,,,,,,No,Yes,M1H,Retired,Female,English,65-69 years,65
278,At least once a week,4,Never,0,,,1,,,,,,No,Yes,M1H,Retired,Male,English,75-79 years,75
279,At least once a month,1,At least once a month,1,,,1,,,,,,No,Yes,M1H,Retired,Female,English,75-79 years,75
280,At least once a week,4,At least once a week,4,,,1,,,,,,Yes,Yes,M1H,Employed full-time,Female,English,55-59 years,55
281,At least a few times each week,8,At least a few times a week,8,1,,,,,,,,No,Yes,M1H,Retired,Female,English,60-64 years,60
282,At least once a month,1,At least once a month,1,,,1,,,,,,Yes,Yes,M1H,Retired,Female,English,75-79 years,75
283,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,M1h,Retired,Female,English,70-74 years,70
284,At least a few times each week,8,Never,0,,,,,,,,1,No,Yes,m1h,"Unemployed, looking for work",Female,Hindi,60-64 years,60
285,At least once a week,4,At least once a week,4,1,,,,,,,1,No,Yes,M1H,Retired,Female,English,70-74 years,70
286,At least once a day,30,Never,0,1,1,,,,,,,Yes,Yes,M1h,Retired,Female,English,60-64 years,60
287,At least once a day,30,At least once a month,1,1,,1,,,,,,Yes,Yes,M1h,Employed full-time,Male,,Less than 54 years,54
288,At least once a week,4,Never,0,1,1,1,,,,,,No,Yes,M1H,Retired,Female,English,60-64 years,60
289,At least once a week,4,At least once a week,4,,,,,,,,1,No,Yes,M1H,Retired,Female,English,65-69 years,65
290,At least a few times each week,8,At least once a week,4,,,,,,,,1,No,Yes,M1H,Retired,Female,,65-69 years,65
291,At least once a day,30,Never,0,1,1,,,,,,1,No,Yes,M1H,Retired,Female,English,80-84 years,80
292,At least once a day,30,At least once a day,30,1,,,,,,,,No,Yes,M1H,Unable to work for health or other reasons,Female,English,60-64 years,60
293,At least once a day,30,At least once a week,4,,1,,,,,1,1,No,Yes,M1H,Retired,,Tamil,75-79 years,75
294,At least once a week,4,Never,0,1,,,,,,,,No,No,M1H,Retired,Female,Chinese (Cantonese),65-69 years,65
295,At least a few times each week,8,At least a few times a week,8,,,1,,,,,,No,No,M1I,Retired,Male,Chinese (Cantonese),65-69 years,65
296,At least once a day,30,Never,0,1,1,1,,,,,,No,Yes,M1J,Employed full-time,Female,English,Less than 54 years,54
297,At least once a day,30,At least once a day,30,1,1,,,,,,,No,Yes,M1J,Employed part-time,Female,English,70-74 years,70
298,At least once a week,4,Never,0,1,1,1,,,,,1,Yes,Yes,m1j,Employed full-time,Female,English,Less than 54 years,54
299,Never,0,At least a few times a week,8,1,,1,,,,,,Yes,Yes,M1j,Employed full-time,Female,English,Less than 54 years,54
300,At least once a day,30,Never,0,1,1,,,,,,1,No,Yes,M1J,Employed part-time,Male,English,60-64 years,60
301,At least once a month,1,Never,0,,,1,,,,,1,No,Yes,M1J,Retired,Female,English,80-84 years,80
302,At least a few times each week,8,Never,0,1,1,,,,,,1,No,Yes,M1J,Retired,Female,English,65-69 years,65
303,At least once a week,4,At least once a week,4,,,1,,,,,,No,Yes,M1J,Retired,Female,English,70-74 years,70
304,At least a few times each week,8,Never,0,1,,,,,,,,No,No,M1J,Retired,Male,Chinese (Cantonese),70-74 years,70
305,At least a few times each week,8,At least a few times a week,8,,,1,,,,,,No,Yes,M1J,Retired,Female,English,75-79 years,75
306,At least once a week,4,Never,0,,,1,,,,,1,No,Yes,M1J,Retired,Female,English,65-69 years,65
307,At least a few times each week,8,Never,0,,,,,,,1,,Yes,Yes,m1j,Retired,Male,English,65-69 years,65
308,,,At least once a week,4,1,,,,,,,,No,No,M1j,Retired,Female,English,70-74 years,70
309,At least once a week,4,Never,0,,,,,,,1,1,Yes,Yes,M1J,Retired,Male,Tagalog,70-74 years,70
310,Never,0,Never,0,,,,,,,1,,Yes,No,M1J,Retired,Female,English,65-69 years,65
311,At least once a day,30,At least once a week,4,1,,,,1,,,1,Yes,Yes,M1J,Unable to work for health or other reasons,Male,English,55-59 years,55
312,At least once a week,4,At least once a month,1,,,1,,,,,,Yes,Yes,M1J,Employed full-time,Female,English,55-59 years,55
313,At least once a week,4,Never,0,,,1,,,,1,,No,No,m1j,Retired,Female,English,65-69 years,65
314,Never,0,At least a few times a week,8,1,,1,,,,,,No,Yes,M1J,Retired,Female,English,75-79 years,75
315,At least once a day,30,At least a few times a week,8,1,1,1,,,,,,No,Yes,M1J,Retired,Male,English,75-79 years,75
316,At least once a day,30,At least a few times a week,8,1,,1,,,,,,Yes,Yes,M1J,Retired,Female,English,65-69 years,65
317,At least once a week,4,At least once a week,4,1,,,,,,,,No,Yes,M1J,"Unemployed, looking for work",Female,English,60-64 years,60
318,At least a few times each week,8,Never,0,1,,1,,,,,,No,Yes,m1j,"Unemployed, looking for work",Female,French,55-59 years,55
319,At least once a week,4,At least once a week,4,,,1,,,,,,No,Yes,m1j,Employed full-time,Female,Polish,60-64 years,60
320,At least once a week,4,Never,0,,,1,,,,,,No,Yes,M1J,Retired,Female,English,80-84 years,80
321,At least a few times each week,8,At least once a week,4,,,1,,,,,,,No,M1J,Retired,Female,English,70-74 years,70
322,At least a few times each week,8,At least a few times a week,8,1,,,,,,,,No,Yes,M1J,Retired,Female,English,75-79 years,75
323,At least once a day,30,Never,0,,,1,,,,,,,Yes,M1J,Employed full-time,Female,English,55-59 years,55
324,At least a few times each week,8,Never,0,,,,,,,1,,No,Yes,M1J,Unable to work for health or other reasons,Female,Tamil,80-84 years,80
325,At least once a day,30,At least a few times a week,8,1,1,,,,,,,No,Yes,m1j,Retired,Female,Chinese (Mandarin),75-79 years,75
326,At least a few times each week,8,At least once a month,1,1,1,1,,,,,,No,Yes,M1J,,Female,,55-59 years,55
327,At least a few times each week,8,At least a few times a week,8,,,1,,,,,,Yes,No,M1J,Retired,Male,Tamil,70-74 years,70
328,At least once a month,1,At least once a week,4,,,,,,,,,Yes,Yes,m1k,Employed full-time,Male,English,60-64 years,60
329,At least once a week,4,Never,0,,,1,,,,1,,Yes,Yes,M1K,Employed full-time,Male,English,55-59 years,55
330,At least once a day,30,At least once a month,1,,1,1,,,,,,Yes,No,M1K,Employed full-time,Female,Spanish,Less than 54 years,54
331,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,m1k,Employed part-time,Female,Other,Less than 54 years,54
332,At least once a day,30,Never,0,,,1,,,,,,No,Yes,M1K,Retired,Female,English,65-69 years,65
333,At least a few times each week,8,,,1,,,,,,,,No,Yes,M1K,Employed full-time,Female,English,Less than 54 years,54
334,At least a few times each week,8,At least once a month,1,1,1,,,,,,1,No,Yes,M1K,Retired,Female,English,65-69 years,65
335,At least once a day,30,,,,,,,,,,,,Yes,m1k,Retired,,,,
336,At least a few times each week,8,At least once a month,1,1,1,,,,,,,No,No,M1K,Retired,Female,English,60-64 years,60
337,At least once a day,30,At least once a day,30,1,1,,,,,,,Yes,Yes,M1K,Unable to work for health or other reasons,Female,,60-64 years,60
338,Never,0,At least a few times a week,8,,,,,,,1,,No,No,M1K,Retired,Female,English,80-84 years,80
339,At least once a day,30,At least once a month,1,1,1,,,1,,,1,Yes,No,m1k,"Unemployed, looking for work",Female,English,Less than 54 years,54
340,At least once a month,1,Never,0,,,1,,,,,1,No,Yes,M1K,Retired,Other,English,65-69 years,65
341,At least a few times each week,8,At least a few times a week,8,,1,1,,,,,,Yes,No,M1K,Retired,Female,English,65-69 years,65
342,At least once a week,4,At least once a week,4,,,1,,,,,,No,Yes,M1K,Retired,Female,English,70-74 years,70
343,Never,0,Never,0,,,,1,,,1,,No,No,M1K,Retired,Female,English,60-64 years,60
344,Never,0,Never,0,,,1,,,,,,No,Yes,M1K,Employed full-time,Female,Spanish,65-69 years,65
345,At least once a month,1,Never,0,,,,,,,1,1,No,Yes,M1K,Retired,Female,English,80-84 years,80
346,At least once a day,30,Never,0,,,,,1,,1,1,No,No,m1k,Unable to work for health or other reasons,Male,,55-59 years,55
347,At least once a day,30,At least once a week,4,,1,,,,,1,1,Yes,Yes,M1K,Unable to work for health or other reasons,Female,English,55-59 years,55
348,Never,0,At least a few times a week,8,,,,,1,,1,1,No,Yes,M1K,Employed part-time,Female,English,70-74 years,70
349,At least once a day,30,Never,0,1,,,,,,,,No,No,m1k,Retired,Female,Spanish,70-74 years,70
350,At least a few times each week,8,Never,0,1,1,,,1,,1,,Yes,No,m1k,Employed part-time,Male,English,Less than 54 years,54
351,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,M1K,Retired,Female,English,70-74 years,70
352,Never,0,Never,0,1,,,,1,,,,No,Yes,M1K,Employed full-time,Male,English,55-59 years,55
353,At least a few times each week,8,At least once a day,30,1,1,1,,,,,,No,Yes,M1K,Retired,Female,English,70-74 years,70
354,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,M1K,Retired,Female,English,70-74 years,70
355,At least a few times each week,8,At least once a month,1,1,1,,,,,,,,Yes,M1K,Retired,Male,,60-64 years,60
356,At least a few times each week,8,At least once a day,30,1,1,1,,,,,,No,Yes,M1K,Retired,Male,English,70-74 years,70
357,At least a few times each week,8,At least once a week,4,1,1,1,,,,,,No,Yes,M1K,Retired,Male,English,60-64 years,60
358,At least a few times each week,8,Never,0,1,1,,,1,,,,Yes,Yes,M1K,Retired,Other,English,75-79 years,75
359,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,M1K,Retired,Female,English,75-79 years,75
360,At least once a day,30,Never,0,1,1,,,,,,,No,Yes,M1K,Retired,Female,Chinese (Cantonese),65-69 years,65
361,At least a few times each week,8,Never,0,1,1,,,,,,,No,Yes,M1K,Retired,Female,English,75-79 years,75
362,At least a few times each week,8,At least once a week,4,1,,,,,,,,,Yes,M1K,Retired,Female,English,65-69 years,65
363,Never,0,Never,0,1,,,,,,,1,Yes,Yes,m1k,Unable to work for health or other reasons,Female,English,Less than 54 years,54
364,At least a few times each week,8,At least once a month,1,,,,,,,1,,Yes,Yes,M1K,Unable to work for health or other reasons,Female,English,60-64 years,60
365,At least once a day,30,At least once a week,4,1,1,1,,,,1,,No,No,M1K,Retired,Female,English,85 years or older,85
366,At least a few times each week,8,Never,0,,,1,,,,,,,Yes,m1k,Retired,Female,,80-84 years,80
367,At least a few times each week,8,At least once a week,4,,,1,,,,,,No,No,M1K,Unable to work for health or other reasons,Male,English,65-69 years,65
368,At least a few times each week,8,At least once a week,4,,,,,,,1,,No,Yes,M1K,Retired,Female,English,80-84 years,80
369,At least once a day,30,At least once a week,4,1,1,,,,,,,No,Yes,M1K,Retired,Female,English,75-79 years,75
370,Never,0,At least a few times a week,8,,1,,,1,,,,No,Yes,M1K,Retired,Transgender,English,80-84 years,80
371,At least a few times each week,8,Never,0,1,1,,,,,,1,No,Yes,M1K,Retired,Female,English,80-84 years,80
372,At least a few times each week,8,Never,0,,,,,,,1,,Yes,,M1K,Unable to work for health or other reasons,Male,,60-64 years,60
373,At least a few times each week,8,At least once a week,4,1,1,,,,,,1,Yes,Yes,M1K,Retired,Female,English,80-84 years,80
374,At least a few times each week,8,At least a few times a week,8,1,,,,,,,1,No,Yes,M1K,Retired,Female,English,75-79 years,75
375,At least a few times each week,8,At least a few times a week,8,1,,,,,,,,Yes,No,M1K,Retired,Female,English,75-79 years,75
376,At least a few times each week,8,At least a few times a week,8,1,1,,,,,,,No,Yes,m1k,"Unemployed, looking for work",Female,,Less than 54 years,54
377,At least once a day,30,At least once a day,30,1,1,,,1,,,,,Yes,m1k,"Unemployed, looking for work",Male,,Less than 54 years,54
378,At least once a day,30,At least once a month,1,,1,1,,,,,,Yes,Yes,M1K,Retired,Female,,65-69 years,65
379,At least once a day,30,At least a few times a week,8,1,1,,,,,,,Yes,Yes,M1K,Employed full-time,Female,English,60-64 years,60
380,At least once a week,4,Never,0,,,1,,,,,,No,Yes,M1K,Retired,,English,75-79 years,75
381,At least a few times each week,8,At least once a week,4,,1,,,,,1,1,No,Yes,m1k,Retired,Female,,65-69 years,65
382,At least once a day,30,At least once a day,30,1,,,,,,,,No,Yes,m1k,Retired,Female,,75-79 years,75
383,At least a few times each week,8,Never,0,1,,,,,,,,No,Yes,m1k,Retired,Female,,65-69 years,65
384,Never,0,Never,0,,,1,,,,,,No,Yes,M1K,Retired,Male,Chinese (Mandarin),60-64 years,60
385,At least a few times each week,8,,,1,,1,,,,,,No,Yes,M1K,Retired,Female,Chinese (Mandarin),60-64 years,60
386,Never,0,Never,0,,,,,,,1,,No,Yes,M1K ,Retired,Female,English,60-64 years,60
387,At least once a day,30,At least once a day,30,1,1,,,,,,,Yes,Yes,M1K ,Employed part-time,Female,English,60-64 years,60
388,Never,0,Never,0,1,,,,,,,,Yes,No,M1K ,Employed full-time,Female,English,55-59 years,55
389,At least once a day,30,Never,0,1,1,1,,,,,,No,Yes,M1L,Employed full-time,Male,English,65-69 years,65
390,At least once a week,4,Never,0,,1,,,1,,,1,No,Yes,M1L,Retired,Female,English,80-84 years,80
391,At least once a day,30,At least once a month,1,1,,,,,,,,Yes,Yes,m1l,Employed part-time,Female,English,Less than 54 years,54
392,At least a few times each week,8,Never,0,,,1,,,,,,No,Yes,M1L,Employed full-time,Female,English,Less than 54 years,54
393,At least once a day,30,At least once a week,4,1,1,,,,,,,No,No,M1L,Retired,Female,English,65-69 years,65
394,At least once a week,4,Never,0,1,,1,,,,,,Yes,Yes,M1L,Retired,Female,English,65-69 years,65
395,At least once a month,1,At least once a month,1,,,,,,,1,,No,Yes,M1L,Retired,Male,English,85 years or older,85
396,At least once a week,4,Never,0,,,,,,,1,,No,Yes,M1L,Retired,Female,Spanish,65-69 years,65
397,At least once a week,4,At least once a day,30,,,1,,,,,,Yes,Yes,M1L,Retired,Female,English,75-79 years,75
398,At least a few times each week,8,At least once a month,1,1,,1,,,,,1,Yes,No,M1L,Retired,Female,English,65-69 years,65
399,At least once a day,30,Never,0,,,,,,,1,,No,Yes,m1l,Retired,Male,,70-74 years,70
